[2026-09-08T05:56:24.859+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-08T05:56:25.255+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-09-08T05:55:50.801217+00:00 [queued]>
[2026-09-08T05:56:25.538+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-09-08T05:55:50.801217+00:00 [queued]>
[2026-09-08T05:56:25.557+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-09-08T05:56:25.786+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): core_table> on 2026-09-08 05:55:50.801217+00:00
[2026-09-08T05:56:25.900+0000] {standard_task_runner.py:63} INFO - Started process 214 to run task
[2026-09-08T05:56:25.984+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'core_table', 'manual__2026-09-08T05:55:50.801217+00:00', '--job-id', '18', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmpd7b5gfwf']
[2026-09-08T05:56:26.010+0000] {standard_task_runner.py:91} INFO - Job 18: Subtask core_table
[2026-09-08T05:56:27.630+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.core_table manual__2026-09-08T05:55:50.801217+00:00 [running]> on host a573ce1f3f74
[2026-09-08T05:56:30.417+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='core_table' AIRFLOW_CTX_EXECUTION_DATE='2026-09-08T05:55:50.801217+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-08T05:55:50.801217+00:00'
[2026-09-08T05:56:30.432+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-08T05:56:31.303+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-08T05:56:31.556+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-08T05:56:31.728+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-08T05:56:32.697+0000] {data_modification.py:22} INFO - insert row with video_ID:a1hpoWWo16w
[2026-09-08T05:56:32.711+0000] {data_modification.py:22} INFO - insert row with video_ID:xyV16N6Wj20
[2026-09-08T05:56:32.723+0000] {data_modification.py:22} INFO - insert row with video_ID:wERidUx5p8o
[2026-09-08T05:56:32.756+0000] {data_modification.py:22} INFO - insert row with video_ID:i1WfpuZErcM
[2026-09-08T05:56:32.787+0000] {data_modification.py:22} INFO - insert row with video_ID:Oss-6cGsWs0
[2026-09-08T05:56:32.803+0000] {data_modification.py:22} INFO - insert row with video_ID:IDeq2yJsyqg
