[2026-09-08T05:55:59.126+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-08T05:55:59.244+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-09-08T05:55:50.801217+00:00 [queued]>
[2026-09-08T05:55:59.279+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-09-08T05:55:50.801217+00:00 [queued]>
[2026-09-08T05:55:59.281+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-09-08T05:55:59.331+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): staging_table> on 2026-09-08 05:55:50.801217+00:00
[2026-09-08T05:55:59.357+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'staging_table', 'manual__2026-09-08T05:55:50.801217+00:00', '--job-id', '17', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmpd6ccl99v']
[2026-09-08T05:55:59.368+0000] {standard_task_runner.py:91} INFO - Job 17: Subtask staging_table
[2026-09-08T05:55:59.351+0000] {standard_task_runner.py:63} INFO - Started process 205 to run task
[2026-09-08T05:55:59.658+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.staging_table manual__2026-09-08T05:55:50.801217+00:00 [running]> on host a573ce1f3f74
[2026-09-08T05:56:00.006+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='staging_table' AIRFLOW_CTX_EXECUTION_DATE='2026-09-08T05:55:50.801217+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-08T05:55:50.801217+00:00'
[2026-09-08T05:56:00.028+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-08T05:56:00.286+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-08T05:56:00.532+0000] {data_loading.py:10} INFO - processing file :yt_data2026-09-08
[2026-09-08T05:56:00.596+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-08T05:56:00.680+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-08T05:56:01.149+0000] {data_modification.py:22} INFO - insert row with video_ID:a1hpoWWo16w
[2026-09-08T05:56:01.204+0000] {data_modification.py:22} INFO - insert row with video_ID:xyV16N6Wj20
