[2026-09-05T18:30:22.605+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-05T18:30:22.665+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-09-05T18:30:19.361088+00:00 [queued]>
[2026-09-05T18:30:22.692+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-09-05T18:30:19.361088+00:00 [queued]>
[2026-09-05T18:30:22.694+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-09-05T18:30:22.720+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): staging_table> on 2026-09-05 18:30:19.361088+00:00
[2026-09-05T18:30:22.738+0000] {standard_task_runner.py:63} INFO - Started process 292 to run task
[2026-09-05T18:30:22.741+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'staging_table', 'manual__2026-09-05T18:30:19.361088+00:00', '--job-id', '7', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmpvao092yr']
[2026-09-05T18:30:22.745+0000] {standard_task_runner.py:91} INFO - Job 7: Subtask staging_table
[2026-09-05T18:30:22.898+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.staging_table manual__2026-09-05T18:30:19.361088+00:00 [running]> on host d6c8b820b638
[2026-09-05T18:30:23.150+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='staging_table' AIRFLOW_CTX_EXECUTION_DATE='2026-09-05T18:30:19.361088+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-05T18:30:19.361088+00:00'
[2026-09-05T18:30:23.178+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-05T18:30:23.616+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-05T18:30:23.684+0000] {data_loading.py:10} INFO - processing file :yt_data2026-09-05
[2026-09-05T18:30:23.706+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-05T18:30:23.761+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-05T18:30:23.890+0000] {data_modification.py:22} INFO - insert row with video_ID:xyV16N6Wj20
[2026-09-05T18:30:23.895+0000] {data_modification.py:22} INFO - insert row with video_ID:wERidUx5p8o
[2026-09-05T18:30:23.900+0000] {data_modification.py:22} INFO - insert row with video_ID:i1WfpuZErcM
[2026-09-05T18:30:23.906+0000] {data_modification.py:22} INFO - insert row with video_ID:Oss-6cGsWs0
[2026-09-05T18:30:23.911+0000] {data_modification.py:22} INFO - insert row with video_ID:IDeq2yJsyqg
[2026-09-05T18:30:23.916+0000] {data_modification.py:22} INFO - insert row with video_ID:EbJcMAfEg0o
[2026-09-05T18:30:23.923+0000] {data_modification.py:22} INFO - insert row with video_ID:IRi6AEqhq1Q
[2026-09-05T18:30:23.928+0000] {data_modification.py:22} INFO - insert row with video_ID:G-ywA1D9-9o
[2026-09-05T18:30:23.944+0000] {data_modification.py:22} INFO - insert row with video_ID:yW47gxbsqXo
[2026-09-05T18:30:23.963+0000] {data_modification.py:22} INFO - insert row with video_ID:YbF5kbALBLU
[2026-09-05T18:30:23.969+0000] {data_modification.py:22} INFO - insert row with video_ID:2WD845pHIj8
[2026-09-05T18:30:23.975+0000] {data_modification.py:22} INFO - insert row with video_ID:8xzx8eEytPE
[2026-09-05T18:30:23.980+0000] {data_modification.py:22} INFO - insert row with video_ID:MzM84euAhxM
[2026-09-05T18:30:23.992+0000] {data_modification.py:22} INFO - insert row with video_ID:skF52qeMq24
[2026-09-05T18:30:23.997+0000] {data_modification.py:22} INFO - insert row with video_ID:8JhstIzUFSU
[2026-09-05T18:30:24.003+0000] {data_modification.py:22} INFO - insert row with video_ID:YkSVPY6A3xI
[2026-09-05T18:30:24.008+0000] {data_modification.py:22} INFO - insert row with video_ID:s3eFlxgyz8Y
[2026-09-05T18:30:24.013+0000] {data_modification.py:22} INFO - insert row with video_ID:7sRTX72yA7c
[2026-09-05T18:30:24.019+0000] {data_modification.py:22} INFO - insert row with video_ID:F5FZQD1mols
[2026-09-05T18:30:24.025+0000] {data_modification.py:22} INFO - insert row with video_ID:agk-_PhCifo
[2026-09-05T18:30:24.037+0000] {data_modification.py:22} INFO - insert row with video_ID:XfsHfFeEJUo
[2026-09-05T18:30:24.042+0000] {data_modification.py:22} INFO - insert row with video_ID:vMHnYDTaED8
[2026-09-05T18:30:24.048+0000] {data_modification.py:22} INFO - insert row with video_ID:1eRGC_ebu5I
