[2026-09-04T12:04:15.242+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-04T12:04:15.285+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-09-04T12:04:12.806853+00:00 [queued]>
[2026-09-04T12:04:15.304+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-09-04T12:04:12.806853+00:00 [queued]>
[2026-09-04T12:04:15.308+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-09-04T12:04:15.333+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): staging_table> on 2026-09-04 12:04:12.806853+00:00
[2026-09-04T12:04:15.344+0000] {standard_task_runner.py:63} INFO - Started process 166 to run task
[2026-09-04T12:04:15.352+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'staging_table', 'manual__2026-09-04T12:04:12.806853+00:00', '--job-id', '47', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmp_otbnxx4']
[2026-09-04T12:04:15.354+0000] {standard_task_runner.py:91} INFO - Job 47: Subtask staging_table
[2026-09-04T12:04:15.613+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.staging_table manual__2026-09-04T12:04:12.806853+00:00 [running]> on host f3da14e6274e
[2026-09-04T12:04:16.042+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='staging_table' AIRFLOW_CTX_EXECUTION_DATE='2026-09-04T12:04:12.806853+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-04T12:04:12.806853+00:00'
[2026-09-04T12:04:16.064+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-04T12:04:16.380+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-04T12:04:16.412+0000] {data_loading.py:10} INFO - processing file :yt_data2026-09-04
[2026-09-04T12:04:16.425+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-04T12:04:16.441+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-04T12:04:16.476+0000] {data_modification.py:22} INFO - insert row with video_ID:xyV16N6Wj20
[2026-09-04T12:04:16.488+0000] {data_modification.py:53} INFO - updated row with video_id:wERidUx5p8o
[2026-09-04T12:04:16.500+0000] {data_modification.py:53} INFO - updated row with video_id:i1WfpuZErcM
[2026-09-04T12:04:16.516+0000] {data_modification.py:53} INFO - updated row with video_id:Oss-6cGsWs0
[2026-09-04T12:04:16.531+0000] {data_modification.py:53} INFO - updated row with video_id:IDeq2yJsyqg
[2026-09-04T12:04:16.555+0000] {data_modification.py:53} INFO - updated row with video_id:EbJcMAfEg0o
[2026-09-04T12:04:16.603+0000] {data_modification.py:53} INFO - updated row with video_id:IRi6AEqhq1Q
[2026-09-04T12:04:16.645+0000] {data_modification.py:53} INFO - updated row with video_id:G-ywA1D9-9o
[2026-09-04T12:04:16.656+0000] {data_modification.py:53} INFO - updated row with video_id:yW47gxbsqXo
[2026-09-04T12:04:16.701+0000] {data_modification.py:53} INFO - updated row with video_id:YbF5kbALBLU
[2026-09-04T12:04:16.735+0000] {data_modification.py:53} INFO - updated row with video_id:2WD845pHIj8
[2026-09-04T12:04:16.745+0000] {data_modification.py:53} INFO - updated row with video_id:8xzx8eEytPE
[2026-09-04T12:04:16.752+0000] {data_modification.py:53} INFO - updated row with video_id:MzM84euAhxM
[2026-09-04T12:04:16.760+0000] {data_modification.py:53} INFO - updated row with video_id:skF52qeMq24
[2026-09-04T12:04:16.766+0000] {data_modification.py:53} INFO - updated row with video_id:8JhstIzUFSU
[2026-09-04T12:04:16.773+0000] {data_modification.py:53} INFO - updated row with video_id:YkSVPY6A3xI
[2026-09-04T12:04:16.781+0000] {data_modification.py:53} INFO - updated row with video_id:s3eFlxgyz8Y
[2026-09-04T12:04:16.789+0000] {data_modification.py:53} INFO - updated row with video_id:7sRTX72yA7c
[2026-09-04T12:04:16.795+0000] {data_modification.py:53} INFO - updated row with video_id:F5FZQD1mols
[2026-09-04T12:04:16.802+0000] {data_modification.py:53} INFO - updated row with video_id:agk-_PhCifo
[2026-09-04T12:04:16.810+0000] {data_modification.py:53} INFO - updated row with video_id:XfsHfFeEJUo
[2026-09-04T12:04:16.817+0000] {data_modification.py:53} INFO - updated row with video_id:vMHnYDTaED8
[2026-09-04T12:04:16.829+0000] {data_modification.py:53} INFO - updated row with video_id:1eRGC_ebu5I
[2026-09-04T12:04:16.835+0000] {data_modification.py:53} INFO - updated row with video_id:JSuWrvJGpXA
[2026-09-04T12:04:16.842+0000] {data_modification.py:53} INFO - updated row with video_id:oxo3GW_NK7U
[2026-09-04T12:04:16.849+0000] {data_modification.py:53} INFO - updated row with video_id:OxVa--mRy-s
[2026-09-04T12:04:16.858+0000] {data_modification.py:53} INFO - updated row with video_id:c0Q9xhuDGUM
[2026-09-04T12:04:16.864+0000] {data_modification.py:53} INFO - updated row with video_id:qNO5CZ6y7Sg
[2026-09-04T12:04:16.871+0000] {data_modification.py:53} INFO - updated row with video_id:wUalnjVyGFg
[2026-09-04T12:04:16.880+0000] {data_modification.py:53} INFO - updated row with video_id:lC3CslH1Jk0
[2026-09-04T12:04:16.890+0000] {data_modification.py:53} INFO - updated row with video_id:BRV8sVfAYes
[2026-09-04T12:04:16.897+0000] {data_modification.py:53} INFO - updated row with video_id:TFb5VZbTWW8
[2026-09-04T12:04:16.903+0000] {data_modification.py:53} INFO - updated row with video_id:5otzIsTRAVs
[2026-09-04T12:04:16.910+0000] {data_modification.py:53} INFO - updated row with video_id:FfAKSF-BsuE
[2026-09-04T12:04:16.915+0000] {data_modification.py:53} INFO - updated row with video_id:SKwDxy_sYGg
[2026-09-04T12:04:16.920+0000] {data_modification.py:53} INFO - updated row with video_id:9IK7SHy2EqM
[2026-09-04T12:04:16.927+0000] {data_modification.py:53} INFO - updated row with video_id:d1p87GyuI-4
[2026-09-04T12:04:16.931+0000] {data_modification.py:53} INFO - updated row with video_id:e_bOcDQSXfs
[2026-09-04T12:04:16.939+0000] {data_modification.py:53} INFO - updated row with video_id:DS5S02PItCg
[2026-09-04T12:04:16.945+0000] {data_modification.py:53} INFO - updated row with video_id:_op31YCic1c
[2026-09-04T12:04:16.950+0000] {data_modification.py:53} INFO - updated row with video_id:lG0Ti2QmcnA
[2026-09-04T12:04:16.956+0000] {data_modification.py:53} INFO - updated row with video_id:Kt7Qc-yd2C0
[2026-09-04T12:04:16.961+0000] {data_modification.py:53} INFO - updated row with video_id:9VbzTx6a6Zw
[2026-09-04T12:04:16.965+0000] {data_modification.py:53} INFO - updated row with video_id:huWjmj9lkHU
[2026-09-04T12:04:16.970+0000] {data_modification.py:53} INFO - updated row with video_id:YwHccmbbOnY
[2026-09-04T12:04:16.977+0000] {data_modification.py:53} INFO - updated row with video_id:M4gCCt3UpcE
[2026-09-04T12:04:16.982+0000] {data_modification.py:53} INFO - updated row with video_id:5f3Q67DGtc4
[2026-09-04T12:04:16.987+0000] {data_modification.py:53} INFO - updated row with video_id:LM-v9I2QBks
[2026-09-04T12:04:16.993+0000] {data_modification.py:53} INFO - updated row with video_id:6BSLjhKQEBs
[2026-09-04T12:04:17.002+0000] {data_modification.py:53} INFO - updated row with video_id:nifgXMP448M
[2026-09-04T12:04:17.009+0000] {data_modification.py:53} INFO - updated row with video_id:1Fv8GCjK94s
