[2026-09-09T14:58:53.947+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-09T14:58:54.071+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-09-09T14:58:12.046145+00:00 [queued]>
[2026-09-09T14:58:54.099+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-09-09T14:58:12.046145+00:00 [queued]>
[2026-09-09T14:58:54.101+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-09-09T14:58:54.156+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): staging_table> on 2026-09-09 14:58:12.046145+00:00
[2026-09-09T14:58:54.201+0000] {standard_task_runner.py:63} INFO - Started process 135 to run task
[2026-09-09T14:58:54.216+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'staging_table', 'manual__2026-09-09T14:58:12.046145+00:00', '--job-id', '43', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmp9850gtxu']
[2026-09-09T14:58:54.246+0000] {standard_task_runner.py:91} INFO - Job 43: Subtask staging_table
[2026-09-09T14:58:54.553+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.staging_table manual__2026-09-09T14:58:12.046145+00:00 [running]> on host 38df0d50f382
[2026-09-09T14:58:54.779+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='staging_table' AIRFLOW_CTX_EXECUTION_DATE='2026-09-09T14:58:12.046145+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-09T14:58:12.046145+00:00'
[2026-09-09T14:58:54.790+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-09T14:58:55.134+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-09T14:58:55.170+0000] {data_loading.py:10} INFO - processing file :yt_data2026-09-09
[2026-09-09T14:58:55.340+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-09T14:58:55.385+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-09T14:58:55.533+0000] {data_modification.py:53} INFO - updated row with video_id:a1hpoWWo16w
[2026-09-09T14:58:55.584+0000] {data_modification.py:53} INFO - updated row with video_id:xyV16N6Wj20
[2026-09-09T14:58:55.608+0000] {data_modification.py:53} INFO - updated row with video_id:wERidUx5p8o
[2026-09-09T14:58:55.631+0000] {data_modification.py:53} INFO - updated row with video_id:i1WfpuZErcM
[2026-09-09T14:58:55.640+0000] {data_modification.py:53} INFO - updated row with video_id:Oss-6cGsWs0
[2026-09-09T14:58:55.647+0000] {data_modification.py:53} INFO - updated row with video_id:IDeq2yJsyqg
[2026-09-09T14:58:55.653+0000] {data_modification.py:53} INFO - updated row with video_id:EbJcMAfEg0o
[2026-09-09T14:58:55.669+0000] {data_modification.py:53} INFO - updated row with video_id:IRi6AEqhq1Q
