[2026-09-04T12:04:24.468+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-04T12:04:24.510+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-09-04T12:04:12.806853+00:00 [queued]>
[2026-09-04T12:04:24.527+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-09-04T12:04:12.806853+00:00 [queued]>
[2026-09-04T12:04:24.529+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-09-04T12:04:24.559+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): core_table> on 2026-09-04 12:04:12.806853+00:00
[2026-09-04T12:04:24.572+0000] {standard_task_runner.py:63} INFO - Started process 168 to run task
[2026-09-04T12:04:24.580+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'core_table', 'manual__2026-09-04T12:04:12.806853+00:00', '--job-id', '48', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmpb67mifv1']
[2026-09-04T12:04:24.585+0000] {standard_task_runner.py:91} INFO - Job 48: Subtask core_table
[2026-09-04T12:04:24.681+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.core_table manual__2026-09-04T12:04:12.806853+00:00 [running]> on host f3da14e6274e
[2026-09-04T12:04:24.825+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='core_table' AIRFLOW_CTX_EXECUTION_DATE='2026-09-04T12:04:12.806853+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-04T12:04:12.806853+00:00'
[2026-09-04T12:04:24.828+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-04T12:04:24.839+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-04T12:04:24.848+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-04T12:04:24.867+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-04T12:04:24.956+0000] {data_modification.py:22} INFO - insert row with video_ID:i1WfpuZErcM
[2026-09-04T12:04:24.962+0000] {data_modification.py:22} INFO - insert row with video_ID:Oss-6cGsWs0
[2026-09-04T12:04:24.970+0000] {data_modification.py:22} INFO - insert row with video_ID:IDeq2yJsyqg
[2026-09-04T12:04:24.977+0000] {data_modification.py:22} INFO - insert row with video_ID:EbJcMAfEg0o
[2026-09-04T12:04:24.983+0000] {data_modification.py:22} INFO - insert row with video_ID:IRi6AEqhq1Q
[2026-09-04T12:04:24.992+0000] {data_modification.py:22} INFO - insert row with video_ID:G-ywA1D9-9o
[2026-09-04T12:04:24.999+0000] {data_modification.py:22} INFO - insert row with video_ID:yW47gxbsqXo
[2026-09-04T12:04:25.005+0000] {data_modification.py:22} INFO - insert row with video_ID:YbF5kbALBLU
[2026-09-04T12:04:25.012+0000] {data_modification.py:22} INFO - insert row with video_ID:2WD845pHIj8
[2026-09-04T12:04:25.021+0000] {data_modification.py:22} INFO - insert row with video_ID:8xzx8eEytPE
[2026-09-04T12:04:25.028+0000] {data_modification.py:22} INFO - insert row with video_ID:MzM84euAhxM
[2026-09-04T12:04:25.033+0000] {data_modification.py:22} INFO - insert row with video_ID:skF52qeMq24
[2026-09-04T12:04:25.038+0000] {data_modification.py:22} INFO - insert row with video_ID:8JhstIzUFSU
[2026-09-04T12:04:25.045+0000] {data_modification.py:22} INFO - insert row with video_ID:YkSVPY6A3xI
[2026-09-04T12:04:25.052+0000] {data_modification.py:22} INFO - insert row with video_ID:s3eFlxgyz8Y
[2026-09-04T12:04:25.057+0000] {data_modification.py:22} INFO - insert row with video_ID:7sRTX72yA7c
[2026-09-04T12:04:25.063+0000] {data_modification.py:22} INFO - insert row with video_ID:F5FZQD1mols
[2026-09-04T12:04:25.071+0000] {data_modification.py:22} INFO - insert row with video_ID:agk-_PhCifo
[2026-09-04T12:04:25.077+0000] {data_modification.py:22} INFO - insert row with video_ID:vMHnYDTaED8
[2026-09-04T12:04:25.083+0000] {data_modification.py:22} INFO - insert row with video_ID:1eRGC_ebu5I
[2026-09-04T12:04:25.090+0000] {data_modification.py:22} INFO - insert row with video_ID:JSuWrvJGpXA
[2026-09-04T12:04:25.095+0000] {data_modification.py:22} INFO - insert row with video_ID:oxo3GW_NK7U
[2026-09-04T12:04:25.102+0000] {data_modification.py:22} INFO - insert row with video_ID:OxVa--mRy-s
[2026-09-04T12:04:25.110+0000] {data_modification.py:22} INFO - insert row with video_ID:c0Q9xhuDGUM
[2026-09-04T12:04:25.118+0000] {data_modification.py:22} INFO - insert row with video_ID:qNO5CZ6y7Sg
[2026-09-04T12:04:25.126+0000] {data_modification.py:22} INFO - insert row with video_ID:wUalnjVyGFg
[2026-09-04T12:04:25.132+0000] {data_modification.py:22} INFO - insert row with video_ID:lC3CslH1Jk0
[2026-09-04T12:04:25.139+0000] {data_modification.py:22} INFO - insert row with video_ID:BRV8sVfAYes
[2026-09-04T12:04:25.145+0000] {data_modification.py:22} INFO - insert row with video_ID:TFb5VZbTWW8
[2026-09-04T12:04:25.152+0000] {data_modification.py:22} INFO - insert row with video_ID:5otzIsTRAVs
[2026-09-04T12:04:25.157+0000] {data_modification.py:22} INFO - insert row with video_ID:FfAKSF-BsuE
[2026-09-04T12:04:25.162+0000] {data_modification.py:22} INFO - insert row with video_ID:SKwDxy_sYGg
[2026-09-04T12:04:25.170+0000] {data_modification.py:22} INFO - insert row with video_ID:9IK7SHy2EqM
[2026-09-04T12:04:25.178+0000] {data_modification.py:22} INFO - insert row with video_ID:d1p87GyuI-4
[2026-09-04T12:04:25.184+0000] {data_modification.py:22} INFO - insert row with video_ID:e_bOcDQSXfs
[2026-09-04T12:04:25.189+0000] {data_modification.py:22} INFO - insert row with video_ID:DS5S02PItCg
[2026-09-04T12:04:25.196+0000] {data_modification.py:22} INFO - insert row with video_ID:_op31YCic1c
[2026-09-04T12:04:25.205+0000] {data_modification.py:22} INFO - insert row with video_ID:lG0Ti2QmcnA
[2026-09-04T12:04:25.212+0000] {data_modification.py:22} INFO - insert row with video_ID:Kt7Qc-yd2C0
[2026-09-04T12:04:25.223+0000] {data_modification.py:22} INFO - insert row with video_ID:9VbzTx6a6Zw
[2026-09-04T12:04:25.240+0000] {data_modification.py:22} INFO - insert row with video_ID:huWjmj9lkHU
[2026-09-04T12:04:25.273+0000] {data_modification.py:22} INFO - insert row with video_ID:YwHccmbbOnY
[2026-09-04T12:04:25.289+0000] {data_modification.py:22} INFO - insert row with video_ID:M4gCCt3UpcE
[2026-09-04T12:04:25.325+0000] {data_modification.py:22} INFO - insert row with video_ID:5f3Q67DGtc4
[2026-09-04T12:04:25.347+0000] {data_modification.py:22} INFO - insert row with video_ID:LM-v9I2QBks
[2026-09-04T12:04:25.354+0000] {data_modification.py:22} INFO - insert row with video_ID:1Fv8GCjK94s
[2026-09-04T12:04:25.359+0000] {data_modification.py:22} INFO - insert row with video_ID:Pd9QVyZJrFw
[2026-09-04T12:04:25.364+0000] {data_modification.py:22} INFO - insert row with video_ID:NkesgkugFJc
[2026-09-04T12:04:25.372+0000] {data_modification.py:22} INFO - insert row with video_ID:JSN5fRIsj7o
[2026-09-04T12:04:25.379+0000] {data_modification.py:22} INFO - insert row with video_ID:l9zxVm6Hzkw
[2026-09-04T12:04:25.386+0000] {data_modification.py:22} INFO - insert row with video_ID:ep146L7Cn_Q
[2026-09-04T12:04:25.391+0000] {data_modification.py:22} INFO - insert row with video_ID:Rt2D04o3Ivo
[2026-09-04T12:04:25.396+0000] {data_modification.py:22} INFO - insert row with video_ID:3uFAdp89LlQ
[2026-09-04T12:04:25.403+0000] {data_modification.py:22} INFO - insert row with video_ID:55U_nTv0J24
[2026-09-04T12:04:25.413+0000] {data_modification.py:22} INFO - insert row with video_ID:mV6hsABC1G8
[2026-09-04T12:04:25.464+0000] {data_modification.py:22} INFO - insert row with video_ID:S7fQPwg_YeM
[2026-09-04T12:04:25.514+0000] {data_modification.py:22} INFO - insert row with video_ID:xi_NGNV9dOE
[2026-09-04T12:04:25.544+0000] {data_modification.py:22} INFO - insert row with video_ID:lPa85hGrtco
[2026-09-04T12:04:25.571+0000] {data_modification.py:22} INFO - insert row with video_ID:lAS7IbGvgPI
[2026-09-04T12:04:25.582+0000] {data_modification.py:22} INFO - insert row with video_ID:MoQWJHTnOl8
[2026-09-04T12:04:25.588+0000] {data_modification.py:22} INFO - insert row with video_ID:SNyz3ZIqhng
[2026-09-04T12:04:25.594+0000] {data_modification.py:22} INFO - insert row with video_ID:mWahK6-1oZ8
[2026-09-04T12:04:25.602+0000] {data_modification.py:22} INFO - insert row with video_ID:m6_wcSfUHLg
[2026-09-04T12:04:25.608+0000] {data_modification.py:22} INFO - insert row with video_ID:HDfEPIyikzs
[2026-09-04T12:04:25.616+0000] {data_modification.py:22} INFO - insert row with video_ID:UQzTT3UYSMg
[2026-09-04T12:04:25.621+0000] {data_modification.py:22} INFO - insert row with video_ID:30k_D9vBDeI
[2026-09-04T12:04:25.628+0000] {data_modification.py:22} INFO - insert row with video_ID:DteH9UwOfpA
[2026-09-04T12:04:25.636+0000] {data_modification.py:22} INFO - insert row with video_ID:xFYXMnzcBb0
[2026-09-04T12:04:25.641+0000] {data_modification.py:22} INFO - insert row with video_ID:2NDahJhphvI
[2026-09-04T12:04:25.648+0000] {data_modification.py:22} INFO - insert row with video_ID:cQnGEvNdUcg
[2026-09-04T12:04:25.657+0000] {data_modification.py:22} INFO - insert row with video_ID:tHaMPyO9v2M
[2026-09-04T12:04:25.671+0000] {data_modification.py:22} INFO - insert row with video_ID:aQkpkcbBBS4
[2026-09-04T12:04:25.694+0000] {data_modification.py:22} INFO - insert row with video_ID:F7oCnostH8A
[2026-09-04T12:04:25.716+0000] {data_modification.py:22} INFO - insert row with video_ID:o1_j2TvF_BE
[2026-09-04T12:04:25.729+0000] {data_modification.py:22} INFO - insert row with video_ID:R3nZ2MxkvRs
[2026-09-04T12:04:25.738+0000] {data_modification.py:22} INFO - insert row with video_ID:9YmrT-Q_vDQ
[2026-09-04T12:04:25.753+0000] {data_modification.py:22} INFO - insert row with video_ID:2N6XYRDh41s
[2026-09-04T12:04:25.761+0000] {data_modification.py:22} INFO - insert row with video_ID:zJVdQEZ5bjY
[2026-09-04T12:04:25.771+0000] {data_modification.py:22} INFO - insert row with video_ID:IBai8qm-nqs
[2026-09-04T12:04:25.780+0000] {data_modification.py:22} INFO - insert row with video_ID:z3yae8OIPEU
[2026-09-04T12:04:25.803+0000] {data_modification.py:22} INFO - insert row with video_ID:t_Ux3gZGWOw
[2026-09-04T12:04:25.812+0000] {data_modification.py:22} INFO - insert row with video_ID:B3t9lKS1jg4
[2026-09-04T12:04:25.834+0000] {data_modification.py:22} INFO - insert row with video_ID:9quuSVZ9AMQ
[2026-09-04T12:04:25.839+0000] {data_modification.py:22} INFO - insert row with video_ID:abn1bLSho10
[2026-09-04T12:04:25.851+0000] {data_modification.py:22} INFO - insert row with video_ID:leXKZMScM4Y
[2026-09-04T12:04:25.860+0000] {data_modification.py:22} INFO - insert row with video_ID:Fuzws1RYblA
[2026-09-04T12:04:25.883+0000] {data_modification.py:22} INFO - insert row with video_ID:qL2JYPPN8EU
[2026-09-04T12:04:25.894+0000] {data_modification.py:22} INFO - insert row with video_ID:tiaFVm698Sc
[2026-09-04T12:04:25.909+0000] {data_modification.py:22} INFO - insert row with video_ID:2tQZ47H3TwY
[2026-09-04T12:04:25.917+0000] {data_modification.py:22} INFO - insert row with video_ID:On67fQtw48w
[2026-09-04T12:04:25.925+0000] {data_modification.py:22} INFO - insert row with video_ID:Vbkb2hV4i5s
[2026-09-04T12:04:25.933+0000] {data_modification.py:22} INFO - insert row with video_ID:5JS4aH5rBBo
[2026-09-04T12:04:25.938+0000] {data_modification.py:22} INFO - insert row with video_ID:56Z1Vj8AJVE
[2026-09-04T12:04:25.943+0000] {data_modification.py:22} INFO - insert row with video_ID:9uGS4lK92lA
[2026-09-04T12:04:25.951+0000] {data_modification.py:22} INFO - insert row with video_ID:sFpJntYxuGA
[2026-09-04T12:04:25.958+0000] {data_modification.py:22} INFO - insert row with video_ID:bE83nlnfbNs
[2026-09-04T12:04:25.970+0000] {data_modification.py:22} INFO - insert row with video_ID:4lRQM-ZUpK4
[2026-09-04T12:04:25.984+0000] {data_modification.py:22} INFO - insert row with video_ID:c8snwP7Ctvc
[2026-09-04T12:04:25.993+0000] {data_modification.py:22} INFO - insert row with video_ID:rMcspGVkJW4
[2026-09-04T12:04:26.000+0000] {data_modification.py:22} INFO - insert row with video_ID:2YYYAGTE2zg
[2026-09-04T12:04:26.007+0000] {data_modification.py:22} INFO - insert row with video_ID:XslYAEmp9Ws
[2026-09-04T12:04:26.013+0000] {data_modification.py:22} INFO - insert row with video_ID:OETbOK0ntWk
[2026-09-04T12:04:26.020+0000] {data_modification.py:22} INFO - insert row with video_ID:Jmc77n88PWY
[2026-09-04T12:04:26.026+0000] {data_modification.py:22} INFO - insert row with video_ID:ticbllOFceM
[2026-09-04T12:04:26.032+0000] {data_modification.py:22} INFO - insert row with video_ID:LRey5gfcBwg
[2026-09-04T12:04:26.039+0000] {data_modification.py:22} INFO - insert row with video_ID:TNs5-ACYAG8
[2026-09-04T12:04:26.044+0000] {data_modification.py:22} INFO - insert row with video_ID:NVyEbINHwwY
[2026-09-04T12:04:26.049+0000] {data_modification.py:22} INFO - insert row with video_ID:C4pY9eTIgvw
[2026-09-04T12:04:26.056+0000] {data_modification.py:22} INFO - insert row with video_ID:z3UhFmDjqxE
[2026-09-04T12:04:26.061+0000] {data_modification.py:22} INFO - insert row with video_ID:S-DxMZzq9MU
[2026-09-04T12:04:26.070+0000] {data_modification.py:22} INFO - insert row with video_ID:houoIa_y3nA
[2026-09-04T12:04:26.075+0000] {data_modification.py:22} INFO - insert row with video_ID:gnMg6CAZKuo
[2026-09-04T12:04:26.080+0000] {data_modification.py:22} INFO - insert row with video_ID:tCh7uAF9BCs
[2026-09-04T12:04:26.087+0000] {data_modification.py:22} INFO - insert row with video_ID:rc2kZk0S3Sg
[2026-09-04T12:04:26.093+0000] {data_modification.py:22} INFO - insert row with video_ID:vYk4y7-br2o
[2026-09-04T12:04:26.098+0000] {data_modification.py:22} INFO - insert row with video_ID:gRMOge4k2uQ
[2026-09-04T12:04:26.104+0000] {data_modification.py:22} INFO - insert row with video_ID:TcQJNy1RhJg
[2026-09-04T12:04:26.109+0000] {data_modification.py:22} INFO - insert row with video_ID:wCLL5Oafw7w
[2026-09-04T12:04:26.116+0000] {data_modification.py:22} INFO - insert row with video_ID:KjxbkszU4xA
[2026-09-04T12:04:26.122+0000] {data_modification.py:22} INFO - insert row with video_ID:3lFilSPxScM
[2026-09-04T12:04:26.128+0000] {data_modification.py:22} INFO - insert row with video_ID:aMktu9j-OCY
[2026-09-04T12:04:26.135+0000] {data_modification.py:22} INFO - insert row with video_ID:aWa_Sd_IBME
[2026-09-04T12:04:26.141+0000] {data_modification.py:22} INFO - insert row with video_ID:XNiTVeR8t_s
[2026-09-04T12:04:26.147+0000] {data_modification.py:22} INFO - insert row with video_ID:pV1ZiYm5pwA
