[2026-09-03T17:52:30.532+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-03T17:52:30.771+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-09-03T17:52:19.142635+00:00 [queued]>
[2026-09-03T17:52:30.918+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.staging_table manual__2026-09-03T17:52:19.142635+00:00 [queued]>
[2026-09-03T17:52:30.954+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-09-03T17:52:31.134+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): staging_table> on 2026-09-03 17:52:19.142635+00:00
[2026-09-03T17:52:31.348+0000] {standard_task_runner.py:63} INFO - Started process 1357 to run task
[2026-09-03T17:52:31.361+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'staging_table', 'manual__2026-09-03T17:52:19.142635+00:00', '--job-id', '41', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmpdr93tviq']
[2026-09-03T17:52:31.456+0000] {standard_task_runner.py:91} INFO - Job 41: Subtask staging_table
[2026-09-03T17:52:31.703+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.staging_table manual__2026-09-03T17:52:19.142635+00:00 [running]> on host f3da14e6274e
[2026-09-03T17:52:31.969+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='staging_table' AIRFLOW_CTX_EXECUTION_DATE='2026-09-03T17:52:19.142635+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-03T17:52:19.142635+00:00'
[2026-09-03T17:52:31.983+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-03T17:52:32.284+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-03T17:52:32.313+0000] {data_loading.py:10} INFO - processing file :yt_data2026-09-03
[2026-09-03T17:52:32.559+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-03T17:52:32.588+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-03T17:52:32.649+0000] {data_modification.py:22} INFO - insert row with video_ID:wERidUx5p8o
[2026-09-03T17:52:32.662+0000] {data_modification.py:22} INFO - insert row with video_ID:i1WfpuZErcM
[2026-09-03T17:52:32.682+0000] {data_modification.py:22} INFO - insert row with video_ID:Oss-6cGsWs0
[2026-09-03T17:52:32.697+0000] {data_modification.py:22} INFO - insert row with video_ID:IDeq2yJsyqg
[2026-09-03T17:52:32.712+0000] {data_modification.py:22} INFO - insert row with video_ID:EbJcMAfEg0o
[2026-09-03T17:52:32.721+0000] {data_modification.py:22} INFO - insert row with video_ID:IRi6AEqhq1Q
[2026-09-03T17:52:32.729+0000] {data_modification.py:22} INFO - insert row with video_ID:G-ywA1D9-9o
[2026-09-03T17:52:32.737+0000] {data_modification.py:22} INFO - insert row with video_ID:yW47gxbsqXo
[2026-09-03T17:52:32.749+0000] {data_modification.py:22} INFO - insert row with video_ID:YbF5kbALBLU
[2026-09-03T17:52:32.755+0000] {data_modification.py:22} INFO - insert row with video_ID:2WD845pHIj8
[2026-09-03T17:52:32.763+0000] {data_modification.py:22} INFO - insert row with video_ID:8xzx8eEytPE
[2026-09-03T17:52:32.771+0000] {data_modification.py:22} INFO - insert row with video_ID:MzM84euAhxM
[2026-09-03T17:52:32.781+0000] {data_modification.py:22} INFO - insert row with video_ID:skF52qeMq24
[2026-09-03T17:52:32.791+0000] {data_modification.py:22} INFO - insert row with video_ID:8JhstIzUFSU
[2026-09-03T17:52:32.797+0000] {data_modification.py:22} INFO - insert row with video_ID:YkSVPY6A3xI
[2026-09-03T17:52:32.802+0000] {data_modification.py:22} INFO - insert row with video_ID:s3eFlxgyz8Y
[2026-09-03T17:52:32.807+0000] {data_modification.py:22} INFO - insert row with video_ID:7sRTX72yA7c
[2026-09-03T17:52:32.813+0000] {data_modification.py:22} INFO - insert row with video_ID:F5FZQD1mols
[2026-09-03T17:52:32.820+0000] {data_modification.py:22} INFO - insert row with video_ID:agk-_PhCifo
[2026-09-03T17:52:32.827+0000] {data_modification.py:22} INFO - insert row with video_ID:XfsHfFeEJUo
[2026-09-03T17:52:32.831+0000] {data_modification.py:22} INFO - insert row with video_ID:vMHnYDTaED8
[2026-09-03T17:52:32.836+0000] {data_modification.py:22} INFO - insert row with video_ID:1eRGC_ebu5I
