[2026-09-05T18:30:32.416+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-05T18:30:32.503+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-09-05T18:30:19.361088+00:00 [queued]>
[2026-09-05T18:30:32.559+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-09-05T18:30:19.361088+00:00 [queued]>
[2026-09-05T18:30:32.571+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-09-05T18:30:32.628+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): core_table> on 2026-09-05 18:30:19.361088+00:00
[2026-09-05T18:30:32.664+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'core_table', 'manual__2026-09-05T18:30:19.361088+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmpm8go6ejm']
[2026-09-05T18:30:32.669+0000] {standard_task_runner.py:91} INFO - Job 8: Subtask core_table
[2026-09-05T18:30:32.642+0000] {standard_task_runner.py:63} INFO - Started process 294 to run task
[2026-09-05T18:30:32.834+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.core_table manual__2026-09-05T18:30:19.361088+00:00 [running]> on host d6c8b820b638
[2026-09-05T18:30:33.192+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='core_table' AIRFLOW_CTX_EXECUTION_DATE='2026-09-05T18:30:19.361088+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-05T18:30:19.361088+00:00'
[2026-09-05T18:30:33.232+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-05T18:30:33.256+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-05T18:30:33.298+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-05T18:30:33.318+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
