[2026-09-09T08:12:46.416+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-09-09T08:12:46.498+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-09-09T08:12:21.034281+00:00 [queued]>
[2026-09-09T08:12:46.529+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.core_table manual__2026-09-09T08:12:21.034281+00:00 [queued]>
[2026-09-09T08:12:46.586+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-09-09T08:12:46.677+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): core_table> on 2026-09-09 08:12:21.034281+00:00
[2026-09-09T08:12:46.733+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'core_table', 'manual__2026-09-09T08:12:21.034281+00:00', '--job-id', '30', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmpdagxo3vi']
[2026-09-09T08:12:46.737+0000] {standard_task_runner.py:91} INFO - Job 30: Subtask core_table
[2026-09-09T08:12:46.723+0000] {standard_task_runner.py:63} INFO - Started process 596 to run task
[2026-09-09T08:12:46.957+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.core_table manual__2026-09-09T08:12:21.034281+00:00 [running]> on host 539c327528e4
[2026-09-09T08:12:47.141+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='core_table' AIRFLOW_CTX_EXECUTION_DATE='2026-09-09T08:12:21.034281+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-09-09T08:12:21.034281+00:00'
[2026-09-09T08:12:47.147+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-09-09T08:12:47.242+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-09T08:12:47.268+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-09T08:12:47.285+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2026-09-09T08:12:47.348+0000] {data_modification.py:53} INFO - updated row with video_id:xyV16N6Wj20
[2026-09-09T08:12:47.354+0000] {data_modification.py:53} INFO - updated row with video_id:wERidUx5p8o
[2026-09-09T08:12:47.360+0000] {data_modification.py:53} INFO - updated row with video_id:i1WfpuZErcM
[2026-09-09T08:12:47.369+0000] {data_modification.py:53} INFO - updated row with video_id:Oss-6cGsWs0
[2026-09-09T08:12:47.375+0000] {data_modification.py:53} INFO - updated row with video_id:IDeq2yJsyqg
[2026-09-09T08:12:47.382+0000] {data_modification.py:53} INFO - updated row with video_id:EbJcMAfEg0o
[2026-09-09T08:12:47.390+0000] {data_modification.py:53} INFO - updated row with video_id:IRi6AEqhq1Q
[2026-09-09T08:12:47.397+0000] {data_modification.py:53} INFO - updated row with video_id:G-ywA1D9-9o
[2026-09-09T08:12:47.404+0000] {data_modification.py:53} INFO - updated row with video_id:yW47gxbsqXo
[2026-09-09T08:12:47.410+0000] {data_modification.py:53} INFO - updated row with video_id:YbF5kbALBLU
[2026-09-09T08:12:47.420+0000] {data_modification.py:53} INFO - updated row with video_id:2WD845pHIj8
[2026-09-09T08:12:47.426+0000] {data_modification.py:53} INFO - updated row with video_id:8xzx8eEytPE
[2026-09-09T08:12:47.435+0000] {data_modification.py:53} INFO - updated row with video_id:MzM84euAhxM
[2026-09-09T08:12:47.441+0000] {data_modification.py:53} INFO - updated row with video_id:skF52qeMq24
[2026-09-09T08:12:47.448+0000] {data_modification.py:53} INFO - updated row with video_id:8JhstIzUFSU
[2026-09-09T08:12:47.454+0000] {data_modification.py:53} INFO - updated row with video_id:YkSVPY6A3xI
[2026-09-09T08:12:47.461+0000] {data_modification.py:53} INFO - updated row with video_id:s3eFlxgyz8Y
[2026-09-09T08:12:47.468+0000] {data_modification.py:53} INFO - updated row with video_id:7sRTX72yA7c
[2026-09-09T08:12:47.474+0000] {data_modification.py:53} INFO - updated row with video_id:agk-_PhCifo
[2026-09-09T08:12:47.480+0000] {data_modification.py:53} INFO - updated row with video_id:XfsHfFeEJUo
[2026-09-09T08:12:47.486+0000] {data_modification.py:53} INFO - updated row with video_id:vMHnYDTaED8
[2026-09-09T08:12:47.493+0000] {data_modification.py:53} INFO - updated row with video_id:1eRGC_ebu5I
[2026-09-09T08:12:47.507+0000] {data_modification.py:53} INFO - updated row with video_id:JSuWrvJGpXA
[2026-09-09T08:12:47.522+0000] {data_modification.py:53} INFO - updated row with video_id:oxo3GW_NK7U
[2026-09-09T08:12:47.528+0000] {data_modification.py:53} INFO - updated row with video_id:OxVa--mRy-s
[2026-09-09T08:12:47.535+0000] {data_modification.py:53} INFO - updated row with video_id:c0Q9xhuDGUM
[2026-09-09T08:12:47.541+0000] {data_modification.py:53} INFO - updated row with video_id:qNO5CZ6y7Sg
[2026-09-09T08:12:47.549+0000] {data_modification.py:53} INFO - updated row with video_id:wUalnjVyGFg
[2026-09-09T08:12:47.555+0000] {data_modification.py:53} INFO - updated row with video_id:lC3CslH1Jk0
[2026-09-09T08:12:47.563+0000] {data_modification.py:53} INFO - updated row with video_id:BRV8sVfAYes
[2026-09-09T08:12:47.570+0000] {data_modification.py:53} INFO - updated row with video_id:TFb5VZbTWW8
[2026-09-09T08:12:47.575+0000] {data_modification.py:53} INFO - updated row with video_id:5otzIsTRAVs
[2026-09-09T08:12:47.582+0000] {data_modification.py:53} INFO - updated row with video_id:FfAKSF-BsuE
[2026-09-09T08:12:47.589+0000] {data_modification.py:53} INFO - updated row with video_id:SKwDxy_sYGg
[2026-09-09T08:12:47.596+0000] {data_modification.py:53} INFO - updated row with video_id:9IK7SHy2EqM
[2026-09-09T08:12:47.602+0000] {data_modification.py:53} INFO - updated row with video_id:d1p87GyuI-4
[2026-09-09T08:12:47.608+0000] {data_modification.py:53} INFO - updated row with video_id:e_bOcDQSXfs
[2026-09-09T08:12:47.615+0000] {data_modification.py:53} INFO - updated row with video_id:DS5S02PItCg
[2026-09-09T08:12:47.625+0000] {data_modification.py:53} INFO - updated row with video_id:_op31YCic1c
[2026-09-09T08:12:47.637+0000] {data_modification.py:53} INFO - updated row with video_id:lG0Ti2QmcnA
[2026-09-09T08:12:47.643+0000] {data_modification.py:53} INFO - updated row with video_id:Kt7Qc-yd2C0
[2026-09-09T08:12:47.650+0000] {data_modification.py:53} INFO - updated row with video_id:9VbzTx6a6Zw
[2026-09-09T08:12:47.655+0000] {data_modification.py:53} INFO - updated row with video_id:huWjmj9lkHU
[2026-09-09T08:12:47.662+0000] {data_modification.py:53} INFO - updated row with video_id:YwHccmbbOnY
[2026-09-09T08:12:47.668+0000] {data_modification.py:53} INFO - updated row with video_id:M4gCCt3UpcE
[2026-09-09T08:12:47.675+0000] {data_modification.py:53} INFO - updated row with video_id:LM-v9I2QBks
[2026-09-09T08:12:47.682+0000] {data_modification.py:53} INFO - updated row with video_id:6BSLjhKQEBs
[2026-09-09T08:12:47.689+0000] {data_modification.py:53} INFO - updated row with video_id:nifgXMP448M
[2026-09-09T08:12:47.696+0000] {data_modification.py:53} INFO - updated row with video_id:1Fv8GCjK94s
[2026-09-09T08:12:47.704+0000] {data_modification.py:53} INFO - updated row with video_id:Pd9QVyZJrFw
[2026-09-09T08:12:47.713+0000] {data_modification.py:53} INFO - updated row with video_id:NkesgkugFJc
[2026-09-09T08:12:47.722+0000] {data_modification.py:53} INFO - updated row with video_id:JSN5fRIsj7o
[2026-09-09T08:12:47.727+0000] {data_modification.py:53} INFO - updated row with video_id:l9zxVm6Hzkw
[2026-09-09T08:12:47.739+0000] {data_modification.py:53} INFO - updated row with video_id:ep146L7Cn_Q
[2026-09-09T08:12:47.746+0000] {data_modification.py:53} INFO - updated row with video_id:Rt2D04o3Ivo
[2026-09-09T08:12:47.753+0000] {data_modification.py:53} INFO - updated row with video_id:xi_NGNV9dOE
[2026-09-09T08:12:47.759+0000] {data_modification.py:53} INFO - updated row with video_id:lPa85hGrtco
[2026-09-09T08:12:47.765+0000] {data_modification.py:53} INFO - updated row with video_id:lAS7IbGvgPI
[2026-09-09T08:12:47.773+0000] {data_modification.py:53} INFO - updated row with video_id:MoQWJHTnOl8
[2026-09-09T08:12:47.780+0000] {data_modification.py:53} INFO - updated row with video_id:SNyz3ZIqhng
[2026-09-09T08:12:47.787+0000] {data_modification.py:53} INFO - updated row with video_id:mWahK6-1oZ8
[2026-09-09T08:12:47.793+0000] {data_modification.py:53} INFO - updated row with video_id:m6_wcSfUHLg
[2026-09-09T08:12:47.802+0000] {data_modification.py:53} INFO - updated row with video_id:HDfEPIyikzs
[2026-09-09T08:12:47.815+0000] {data_modification.py:53} INFO - updated row with video_id:UQzTT3UYSMg
[2026-09-09T08:12:47.823+0000] {data_modification.py:53} INFO - updated row with video_id:30k_D9vBDeI
[2026-09-09T08:12:47.828+0000] {data_modification.py:53} INFO - updated row with video_id:DteH9UwOfpA
[2026-09-09T08:12:47.835+0000] {data_modification.py:53} INFO - updated row with video_id:xFYXMnzcBb0
[2026-09-09T08:12:47.850+0000] {data_modification.py:53} INFO - updated row with video_id:2NDahJhphvI
[2026-09-09T08:12:47.859+0000] {data_modification.py:53} INFO - updated row with video_id:cQnGEvNdUcg
[2026-09-09T08:12:47.866+0000] {data_modification.py:53} INFO - updated row with video_id:tHaMPyO9v2M
[2026-09-09T08:12:47.871+0000] {data_modification.py:53} INFO - updated row with video_id:aQkpkcbBBS4
[2026-09-09T08:12:47.887+0000] {data_modification.py:53} INFO - updated row with video_id:F7oCnostH8A
[2026-09-09T08:12:47.908+0000] {data_modification.py:53} INFO - updated row with video_id:o1_j2TvF_BE
[2026-09-09T08:12:47.984+0000] {data_modification.py:53} INFO - updated row with video_id:R3nZ2MxkvRs
[2026-09-09T08:12:48.060+0000] {data_modification.py:53} INFO - updated row with video_id:9YmrT-Q_vDQ
[2026-09-09T08:12:48.214+0000] {data_modification.py:53} INFO - updated row with video_id:2N6XYRDh41s
[2026-09-09T08:12:48.278+0000] {data_modification.py:53} INFO - updated row with video_id:zJVdQEZ5bjY
[2026-09-09T08:12:48.312+0000] {data_modification.py:53} INFO - updated row with video_id:IBai8qm-nqs
[2026-09-09T08:12:48.331+0000] {data_modification.py:53} INFO - updated row with video_id:z3yae8OIPEU
[2026-09-09T08:12:48.339+0000] {data_modification.py:53} INFO - updated row with video_id:t_Ux3gZGWOw
[2026-09-09T08:12:48.350+0000] {data_modification.py:53} INFO - updated row with video_id:B3t9lKS1jg4
[2026-09-09T08:12:48.355+0000] {data_modification.py:53} INFO - updated row with video_id:9quuSVZ9AMQ
[2026-09-09T08:12:48.359+0000] {data_modification.py:53} INFO - updated row with video_id:abn1bLSho10
[2026-09-09T08:12:48.367+0000] {data_modification.py:53} INFO - updated row with video_id:leXKZMScM4Y
[2026-09-09T08:12:48.372+0000] {data_modification.py:53} INFO - updated row with video_id:2Ws8tNEWoeo
[2026-09-09T08:12:48.379+0000] {data_modification.py:53} INFO - updated row with video_id:Fuzws1RYblA
[2026-09-09T08:12:48.384+0000] {data_modification.py:53} INFO - updated row with video_id:qL2JYPPN8EU
[2026-09-09T08:12:48.390+0000] {data_modification.py:53} INFO - updated row with video_id:2tQZ47H3TwY
[2026-09-09T08:12:48.398+0000] {data_modification.py:53} INFO - updated row with video_id:On67fQtw48w
[2026-09-09T08:12:48.403+0000] {data_modification.py:53} INFO - updated row with video_id:xiJYe1hErzQ
[2026-09-09T08:12:48.408+0000] {data_modification.py:53} INFO - updated row with video_id:Vbkb2hV4i5s
[2026-09-09T08:12:48.416+0000] {data_modification.py:53} INFO - updated row with video_id:5JS4aH5rBBo
[2026-09-09T08:12:48.422+0000] {data_modification.py:53} INFO - updated row with video_id:56Z1Vj8AJVE
[2026-09-09T08:12:48.429+0000] {data_modification.py:53} INFO - updated row with video_id:9uGS4lK92lA
[2026-09-09T08:12:48.439+0000] {data_modification.py:53} INFO - updated row with video_id:sFpJntYxuGA
[2026-09-09T08:12:48.445+0000] {data_modification.py:53} INFO - updated row with video_id:bE83nlnfbNs
[2026-09-09T08:12:48.451+0000] {data_modification.py:53} INFO - updated row with video_id:4lRQM-ZUpK4
[2026-09-09T08:12:48.457+0000] {data_modification.py:53} INFO - updated row with video_id:c8snwP7Ctvc
[2026-09-09T08:12:48.466+0000] {data_modification.py:53} INFO - updated row with video_id:rMcspGVkJW4
[2026-09-09T08:12:48.473+0000] {data_modification.py:53} INFO - updated row with video_id:2YYYAGTE2zg
[2026-09-09T08:12:48.479+0000] {data_modification.py:53} INFO - updated row with video_id:XslYAEmp9Ws
[2026-09-09T08:12:48.484+0000] {data_modification.py:53} INFO - updated row with video_id:OETbOK0ntWk
[2026-09-09T08:12:48.490+0000] {data_modification.py:53} INFO - updated row with video_id:RuybpAvrFYE
[2026-09-09T08:12:48.497+0000] {data_modification.py:53} INFO - updated row with video_id:Jmc77n88PWY
